N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
58,한화솔루션,"32,550",600,+1.88%,"5,000","62,261","191,278",18.16,"632,005",8.32,5.30,
59,SK바이오팜,"79,400",200,-0.25%,500,"62,181","78,313",5.69,"121,901",-153.88,-135.18,
60,LG유플러스,"13,150",0,0.00%,"5,000","57,414","436,611",35.89,"596,519",14.63,6.46,
61,CJ제일제당,"380,500","3,500",-0.91%,"5,000","57,281","15,054",22.42,"27,367",12.98,13.50,
62,강원랜드,"26,050",150,-0.57%,500,"55,732","213,940",18.51,"1,110,405",-169.16,-7.92,
63,KODEX 200,"36,890",130,+0.35%,0,"55,575","150,650",11.43,"3,406,038",N/A,N/A,
64,맥쿼리인프라,"13,700",50,-0.36%,0,"55,464","404,846",14.02,"723,454",N/A,N/A,
65,에스디바이오센서,"53,400","1,700",+3.29%,500,"55,147","103,271",10.33,"1,026,556",8.09,139.97,
66,미래에셋증권,"8,850",50,+0.57%,"5,000","54,456","615,316",13.70,"713,736",6.05,8.94,
67,현대제철,"39,900",700,+1.79%,"5,000","53,245","133,446",20.81,"445,182",6.11,-2.59,
68,메리츠금융지주,"39,650",500,-1.25%,500,"53,135","134,011",8.91,"615,076",7.47,16.06,
69,삼성중공업,"5,930",370,+6.65%,"1,000","52,184","880,000",13.98,"13,809,811",-2.42,-33.06,
70,코웨이,"70,400",600,+0.86%,500,"51,955","73,800",60.88,"82,764",11.66,31.51,
71,메리츠화재,"42,950",400,+0.94%,500,"51,808","120,625",12.64,"524,339",8.91,16.91,
72,SKC,"132,500",0,0.00%,"5,000","50,175","37,868",16.58,"109,345",26.99,2.21,
73,금호석유,"160,500","1,000",+0.63%,"5,000","48,625","30,296",19.98,"123,207",2.87,20.18,
74,현대건설,"43,050","1,100",+2.62%,"5,000","47,939","111,356",23.13,"531,167",28.62,1.84,
75,한국금융지주,"80,200","2,400",+3.08%,"5,000","44,692","55,726",34.76,"181,133",2.74,16.27,
76,삼성엔지니어링,"22,800",550,+2.47%,"5,000","44,688","196,000",36.52,"651,484",12.62,17.32,
77,한국타이어앤테크놀로지,"35,000",50,+0.14%,500,"43,356","123,875",41.23,"247,296",6.56,5.12,
78,DB손해보험,"60,300",500,+0.84%,500,"42,692","70,800",42.98,"241,752",5.36,9.08,
79,일진머티리얼즈,"92,400",400,+0.43%,500,"42,606","46,111",13.12,"132,716",67.05,7.23,
80,메리츠증권,"6,070",210,-3.34%,"1,000","41,381","681,731",13.24,"1,600,807",6.16,13.08,
81,유한양행,"56,300",100,+0.18%,"1,000","41,229","73,231",17.42,"133,580",42.68,11.06,
82,현대중공업지주,"50,900","2,100",+4.30%,"1,000","40,207","78,993",16.67,"278,915",-11.80,-8.12,
83,아모레G,"47,650",450,-0.94%,500,"39,291","82,458",15.93,"135,672",26.75,0.31,
84,오리온,"98,800",0,0.00%,500,"39,062","39,536",37.16,"55,466",16.43,15.50,
85,쌍용C&E,"7,640",30,+0.39%,100,"38,495","503,860",3.20,"222,305",18.68,7.92,
86,삼성증권,"42,550",500,+1.19%,"5,000","37,997","89,300",30.15,"207,670",4.01,9.89,
87,두산밥캣,"37,850",350,+0.93%,500,"37,944","100,249",25.31,"104,003",10.36,6.15,
88,GS,"40,350",200,+0.50%,"5,000","37,491","92,915",19.22,"168,745",3.66,-2.82,
89,삼성카드,"32,250",300,+0.94%,"5,000","37,364","115,859",7.28,"45,949",7.96,5.69,
90,한진칼,"55,400",500,+0.91%,"2,500","36,973","66,739",14.86,"72,704",-63.10,-19.55,
91,GS건설,"41,900","1,250",+3.08%,"5,000","35,859","85,581",26.14,"503,660",10.20,7.68,
92,한국가스공사,"38,250","3,500",+10.07%,"5,000","35,310","92,313",10.29,"1,225,431",7.95,-2.24,
93,이마트,"125,500","1,500",+1.21%,"5,000","34,984","27,876",33.57,"94,152",2.53,4.05,
94,NH투자증권,"11,750",50,+0.43%,"5,000","34,901","297,034",17.82,"481,669",4.31,10.32,
95,팬오션,"6,500",60,+0.93%,"1,000","34,747","534,570",12.72,"9,358,583",11.17,3.25,
96,TIGER 차이나전기차SOLACTIVE,"15,925",825,+5.46%,0,"33,863","212,640",0.32,"4,628,175",N/A,N/A,
97,현대차2우B,"91,700","1,100",-1.19%,"5,000","33,457","36,485",62.90,"63,092",4.65,N/A,
98,한미사이언스,"48,300",100,-0.21%,500,"33,145","68,624",2.21,"52,826",61.22,3.47,
99,한국항공우주,"33,650",200,+0.60%,"5,000","32,800","97,475",13.40,"454,271",228.91,6.39,
100,현대미포조선,"81,500","8,100",+11.04%,"5,000","32,553","39,942",10.35,"935,299",-21.17,-0.84,
101,한미약품,"261,000","2,000",+0.77%,"2,500","32,150","12,318",13.35,"14,215",41.57,1.65,
102,호텔신라,"81,500",200,+0.25%,"5,000","31,987","39,248",14.77,"236,899",-31.29,-36.74,
103,한전기술,"83,500",900,+1.09%,200,"31,914","38,220",2.43,"471,507",313.91,N/A,
104,DB하이텍,"69,500","2,000",+2.96%,"5,000","30,857","44,399",23.76,"1,322,918",14.52,23.07,
105,롯데지주,"29,050",100,+0.35%,200,"30,476","104,909",7.77,"85,121",15.14,-3.03,
106,현대오토에버,"110,000","1,500",+1.38%,500,"30,166","27,424",2.02,"53,826",39.93,11.09,
107,대우조선해양,"27,000","4,850",+21.90%,"5,000","28,968","107,291",4.53,"3,323,422",-1.96,2.27,
108,KCC,"323,000","10,000",+3.19%,"5,000","28,703","8,886",10.69,"68,047",4.08,12.79,
109,CJ대한통운,"124,000","1,000",-0.80%,"5,000","28,287","22,812",20.93,"37,357",96.05,3.89,
110,BGF리테일,"163,000","1,000",+0.62%,"1,000","28,173","17,284",31.75,"30,079",20.40,18.60,
111,한화시스템,"14,900",100,+0.68%,"5,000","28,149","188,919",2.07,"428,290",18.06,9.35,
112,GS리테일,"26,550",300,+1.14%,"1,000","27,803","104,718",8.07,"166,917",2.68,7.50,
113,동서,"26,750",50,+0.19%,500,"26,670","99,700",2.81,"44,836",25.12,8.61,
114,제일기획,"23,150",250,+1.09%,200,"26,632","115,041",31.41,"152,957",13.64,16.11,
115,에스원,"69,100",0,0.00%,500,"26,257","37,999",53.08,"21,446",17.27,10.48,
116,한화생명,"3,010",15,+0.50%,"5,000","26,143","868,530",7.84,"1,285,628",3.42,1.90,
117,BNK금융지주,"7,980",10,+0.13%,"5,000","26,010","325,935",40.38,"719,584",3.19,6.11,
118,키움증권,"98,600",200,+0.20%,"5,000","25,852","26,220",25.43,"42,745",2.84,27.63,
119,현대해상,"28,850","1,300",+4.72%,500,"25,792","89,400",27.30,"1,012,974",6.74,7.13,
120,신세계,"259,000",500,+0.19%,"5,000","25,499","9,845",25.29,"76,430",9.74,-2.81,
121,대우건설,"6,090",400,+7.03%,"5,000","25,311","415,623",10.81,"5,233,562",5.17,11.06,
122,하이트진로,"36,000",900,-2.44%,"5,000","25,248","70,134",5.73,"1,106,317",49.05,8.23,
123,포스코인터내셔널,"20,000",350,+1.78%,"5,000","24,675","123,375",6.84,"704,192",8.08,7.69,
124,한솔케미칼,"217,000","6,000",+2.84%,"5,000","24,597","11,335",41.82,"45,955",16.93,24.50,
125,롯데쇼핑,"86,400",800,-0.92%,"5,000","24,441","28,289",11.24,"53,535",-9.18,-7.70,
126,두산퓨얼셀,"37,000","1,200",+3.35%,100,"24,233","65,494",13.88,"243,194",740.00,4.18,
127,CJ,"82,700",100,-0.12%,"5,000","24,129","29,177",17.56,"30,682",71.66,1.89,
128,DL이앤씨,"123,500","1,500",+1.23%,"5,000","23,908","19,359",22.62,"168,728",N/A,N/A,
129,OCI,"99,000","4,500",+4.76%,"5,000","23,611","23,849",14.68,"512,987",11.80,-9.89,
130,한화에어로스페이스,"46,300","1,000",+2.21%,"5,000","23,442","50,630",17.19,"214,277",8.40,4.78,
131,녹십자,"196,500",500,-0.25%,"5,000","22,964","11,687",22.85,"48,145",26.62,7.48,
132,씨에스윈드,"54,300","3,300",+6.47%,500,"22,899","42,171",11.39,"341,916",49.27,8.19,
133,현대차우,"91,200",700,-0.76%,"5,000","22,213","24,357",58.51,"26,928",4.62,N/A,
134,LG화학우,"288,500","2,000",-0.69%,"5,000","22,182","7,689",72.16,"11,128",7.52,N/A,
135,SK케미칼,"125,000","2,000",+1.63%,"5,000","22,026","17,621",17.98,"51,587",59.58,30.49,
136,만도,"46,900",200,+0.43%,"1,000","22,023","46,957",19.53,"268,245",9.88,0.37,
137,한화,"29,300",800,+2.81%,"5,000","21,963","74,959",15.76,"137,974",4.96,4.79,
138,현대로템,"19,450",600,+3.18%,"5,000","21,228","109,142",3.67,"571,327",67.77,2.84,
139,TIGER 200,"36,910",135,+0.37%,0,"21,057","57,050",1.38,"687,422",N/A,N/A,
140,KODEX 200선물인버스2X,"2,480",20,-0.80%,0,"21,006","847,000",4.46,"151,037,670",N/A,N/A,
141,롯데정밀화학,"80,200","1,000",+1.26%,"5,000","20,692","25,800",20.82,"122,548",4.86,12.65,
142,효성티앤씨,"478,000","16,000",+3.46%,"5,000","20,686","4,328",14.05,"62,397",2.93,25.10,
143,효성첨단소재,"459,500","17,000",+3.84%,"5,000","20,585","4,480",8.94,"39,662",9.59,0.03,
144,KODEX 레버리지,"20,320",150,+0.74%,0,"19,954","98,200",3.35,"18,805,022",N/A,N/A,
145,농심,"327,000","2,000",+0.62%,"5,000","19,890","6,083",12.71,"18,898",18.63,7.50,
146,TIGER 미국나스닥100,"74,590","1,470",+2.01%,0,"19,789","26,530",0.00,"122,156",N/A,N/A,
147,휠라홀딩스,"32,050",850,+2.72%,"1,000","19,471","60,752",43.28,"359,474",8.28,10.94,
148,대웅제약,"165,500",500,+0.30%,"2,500","19,176","11,587",6.79,"46,964",166.16,2.38,
149,솔루스첨단소재,"61,700",400,+0.65%,100,"18,874","30,590",6.36,"180,879",-242.91,-5.10,
150,영원무역,"42,450","1,550",+3.79%,500,"18,810","44,311",28.51,"115,590",8.16,8.03,
151,후성,"19,850",400,+2.06%,500,"18,382","92,607",6.63,"962,141",66.84,2.79,
152,현대백화점,"77,900",400,+0.52%,"5,000","18,230","23,402",18.26,"79,703",11.78,1.65,
153,KODEX MSCI Korea TR,"11,855",0,0.00%,0,"18,103","152,700",5.83,"440,001",N/A,N/A,
154,현대위아,"65,100","1,100",+1.72%,"5,000","17,704","27,195",6.99,"84,619",48.51,1.96,
155,효성,"82,700",900,+1.10%,"5,000","17,426","21,071",7.96,"20,871",4.50,-2.26,
156,한샘,"73,200","1,400",+1.95%,"1,000","17,227","23,534",16.27,"38,519",21.54,10.83,
157,대웅,"29,550",200,+0.68%,500,"17,181","58,142",4.29,"62,281",16.27,15.10,
158,코오롱인더,"62,300",800,+1.30%,"5,000","17,144","27,519",20.17,"103,663",9.67,9.70,
159,두산,"103,500","8,200",+8.60%,"5,000","17,102","16,524",10.79,"131,566",-59.62,-34.34,
160,한미반도체,"34,400","1,100",+3.30%,200,"17,014","49,460",5.91,"375,333",20.45,21.03,
161,아이에스동서,"54,500","1,500",+2.83%,500,"16,836","30,893",4.08,"156,725",31.21,10.92,
162,오뚜기,"446,500","2,000",+0.45%,"5,000","16,395","3,672",11.63,"1,597",14.82,7.93,
163,JB금융지주,"8,230",20,+0.24%,"5,000","16,212","196,983",42.07,"169,669",3.39,10.06,
164,한전KPS,"35,700",800,+2.29%,200,"16,065","45,000",7.32,"172,722",13.30,8.23,
165,DGB금융지주,"9,340",10,-0.11%,"5,000","15,798","169,146",50.14,"313,433",3.34,6.93,
166,동원시스템즈,"53,700","1,400",+2.68%,"5,000","15,674","29,188",13.14,"30,531",24.32,10.97,
167,KODEX 단기채권,"103,230",0,0.00%,0,"15,660","15,170",0.00,"58,676",N/A,N/A,
168,LS,"48,250",450,+0.94%,"5,000","15,536","32,200",13.51,"73,156",6.06,3.94,
169,KODEX 삼성그룹,"9,020",60,+0.67%,0,"15,415","170,900",0.16,"330,674",N/A,N/A,
170,더존비즈온,"50,700",300,-0.59%,500,"15,404","30,383",38.23,"98,037",24.82,15.09,
171,TIGER MSCI Korea TR,"14,900",25,+0.17%,0,"15,362","103,100",16.59,"5,058",N/A,N/A,
172,동국제강,"16,000",500,+3.23%,"5,000","15,269","95,433",22.60,"756,868",3.38,3.35,
173,현대엘리베이,"37,400",750,+2.05%,"5,000","15,265","40,815",29.86,"81,200",24.10,9.78,
174,일진하이솔루스,"41,800",50,+0.12%,500,"15,179","36,313",1.62,"92,024",77.99,34.27,
175,롯데칠성,"162,500","2,000",-1.22%,500,"15,078","9,279",9.62,"45,880",19.21,-1.00,
176,케이카,"31,000",600,+1.97%,500,"14,907","48,087",18.01,"267,092",51.50,15.11,
177,아시아나항공,"19,550",550,-2.74%,"5,000","14,547","74,412",7.55,"1,513,827",-3.36,-43.83,
178,KODEX 종합채권(AA-이상)액티브,"106,105",40,+0.04%,0,"14,159","13,344",0.00,"16,456",N/A,N/A,
179,롯데렌탈,"38,400",200,+0.52%,"5,000","14,067","36,634",1.84,"175,925",13.31,6.73,
180,TIGER 단기통안채,"100,630",10,+0.01%,0,"13,477","13,393",0.88,"1,677,859",N/A,N/A,
181,LIG넥스원,"60,900",300,-0.49%,"5,000","13,398","22,000",5.67,"175,191",14.20,8.86,
182,롯데리츠,"5,480",20,-0.36%,500,"13,315","242,969",9.58,"129,517",34.25,1.68,
183,TIGER 미국S&P500,"12,995",130,+1.01%,0,"13,287","102,250",0.03,"1,823,382",N/A,N/A,
184,티와이홀딩스,"26,000",100,+0.39%,500,"13,242","50,929",5.27,"39,602",2.24,N/A,
185,현대두산인프라코어,"6,660",120,+1.83%,"1,000","13,149","197,436",9.85,"809,888",5.70,6.47,
186,NHN,"34,700",100,-0.29%,500,"13,019","37,518",19.29,"83,325",40.07,1.35,
187,ESR켄달스퀘어리츠,"6,080",30,+0.50%,"1,000","12,956","213,089",31.71,"114,045",47.13,1.34,
188,신풍제약,"24,000",350,+1.48%,500,"12,716","52,985",10.53,"542,903","4,000.00",1.72,
189,한일시멘트,"18,300",200,+1.10%,500,"12,675","69,262",2.61,"59,716",12.06,N/A,
190,한국앤컴퍼니,"13,350",50,+0.38%,500,"12,674","94,935",9.68,"45,084",5.12,5.08,
191,LS ELECTRIC,"42,200","1,950",+4.84%,"5,000","12,660","30,000",17.46,"216,126",15.62,6.15,
192,DL,"60,400",300,+0.50%,"5,000","12,657","20,956",12.28,"36,948",1.92,11.84,
193,PI첨단소재,"43,050",650,+1.53%,500,"12,642","29,366",12.24,"71,575",21.61,15.62,
194,대한전선,"1,475",40,+2.79%,100,"12,633","856,473",1.60,"9,475,089",40.97,0.92,
195,명신산업,"23,950",400,+1.70%,500,"12,567","52,470",2.81,"264,202",-10.39,-67.39,
196,롯데관광개발,"17,900",50,+0.28%,500,"12,400","69,276",5.49,"498,772",-6.27,-30.43,
197,TIGER 미국테크TOP10 INDXX,"11,150",215,+1.97%,0,"12,148","108,950",0.00,"647,450",N/A,N/A,
198,지누스,"76,300","5,100",+7.16%,500,"12,056","15,800",21.40,"94,208",33.61,11.61,
199,에스엘,"24,750",50,+0.20%,500,"11,930","48,203",14.91,"55,142",8.21,4.74,
200,코리안리,"9,870",70,+0.71%,500,"11,880","120,369",31.82,"136,960",7.56,5.78,
201,영풍,"641,000",0,0.00%,"5,000","11,807","1,842",4.16,919,9.96,4.03,
202,LG생활건강우,"558,000","29,000",-4.94%,"5,000","11,716","2,100",84.37,"5,867",11.61,N/A,
203,KODEX 2차전지산업,"18,235",135,+0.75%,0,"11,634","63,800",1.24,"1,085,254",N/A,N/A,
204,대덕전자,"23,400","1,250",+5.64%,500,"11,564","49,417",10.44,"1,471,003",37.32,N/A,
205,코스모신소재,"38,400",700,+1.86%,"1,000","11,553","30,087",5.97,"155,996",49.23,7.16,
206,금호타이어,"4,010",30,+0.75%,"5,000","11,519","287,260",3.99,"277,746",-16.04,-6.74,
207,종근당,"95,800",300,-0.31%,"2,500","11,485","11,988",7.82,"17,275",21.95,17.88,
208,솔루엠,"22,900",250,-1.08%,500,"11,451","50,006",8.05,"229,511",42.64,43.26,
209,태광산업,"1,027,000","6,000",+0.59%,"5,000","11,435","1,113",5.94,544,4.51,3.26,
210,TIGER 2차전지테마,"18,540",135,+0.73%,0,"11,300","60,950",0.91,"1,029,215",N/A,N/A,
211,대한유화,"172,500","2,500",+1.47%,"5,000","11,212","6,500",12.54,"59,262",5.36,6.93,
212,녹십자홀딩스,"23,700",150,-0.63%,500,"11,146","47,028",5.75,"62,571",7.46,19.74,
213,진원생명과학,"14,300",700,+5.15%,"1,000","11,099","77,614",12.33,"1,730,758",-43.20,-30.43,
214,TIGER 미국필라델피아반도체나스닥,"10,905",305,+2.88%,0,"11,041","101,250",0.00,"935,818",N/A,N/A,
215,SK네트웍스,"4,415",50,+1.15%,"2,500","10,957","248,188",11.12,"322,360",23.36,1.63,
216,일동제약,"44,100",850,+1.97%,"1,000","10,938","24,803",2.55,"8,127,283",-42.16,-5.13,
217,TIGER TOP10,"12,355",20,-0.16%,0,"10,885","88,100",0.34,"226,600",N/A,N/A,
218,신세계인터내셔날,"152,000","4,500",+3.05%,"5,000","10,853","7,140",6.21,"118,122",14.08,8.24,
219,SK가스,"117,500","2,000",+1.73%,"5,000","10,846","9,230",5.88,"10,003",4.37,14.91,
220,LX인터내셔널,"27,950",200,-0.71%,"5,000","10,833","38,760",24.96,"331,625",4.03,23.72,
221,하나투어,"77,700",200,+0.26%,500,"10,831","13,939",6.08,"49,814",-11.57,-108.93,
222,한국콜마,"46,700",50,+0.11%,500,"10,686","22,881",26.50,"289,438",6.74,29.27,
223,HDC현대산업개발,"16,150",300,+1.89%,"5,000","10,644","65,907",12.52,"1,162,425",3.51,8.85,
224,제주항공,"21,350",350,+1.67%,"1,000","10,624","49,760",0.81,"303,982",-3.36,-113.11,
225,F&F홀딩스,"26,800",800,+3.08%,500,"10,483","39,114",0.77,"35,661",0.22,16.59,
226,CJ CGV,"25,600",100,-0.39%,500,"10,447","40,808",3.97,"287,288",-1.58,-314.44,
227,KG동부제철,"10,400",410,+4.10%,"5,000","10,401","100,009",1.44,"219,615",6.05,7.18,
228,한화투자증권,"4,835",25,+0.52%,"5,000","10,373","214,548",6.13,"772,226",8.13,5.58,
229,LG전자우,"59,900","1,100",+1.87%,"5,000","10,294","17,186",40.57,"27,926",8.64,N/A,
230,화승엔터프라이즈,"16,950",450,+2.73%,500,"10,267","60,575",3.31,"281,322",48.85,9.26,
231,제이콘텐트리,"55,700",300,-0.54%,"5,000","10,220","18,349",1.89,"163,050",-6.17,-52.61,
232,이노션,"50,500",500,+1.00%,500,"10,100","20,000",31.83,"8,286",13.58,8.28,
233,미원에스씨,"198,000","1,000",+0.51%,500,"10,098","5,100",0.69,365,14.78,13.58,
234,코스맥스,"88,400","1,500",-1.67%,500,"10,033","11,350",23.67,"133,743",18.76,6.23,
235,동양생명,"6,200",80,+1.31%,"5,000","10,004","161,359",82.42,"64,652",3.70,4.52,
236,KBSTAR 200,"37,120",80,+0.22%,0,"9,800","26,400",0.06,"33,747",N/A,N/A,
237,KODEX 단기채권PLUS,"103,625",5,0.00%,0,"9,694","9,355",0.00,"7,690",N/A,N/A,
238,한올바이오파마,"18,450",50,+0.27%,500,"9,638","52,241",5.75,"98,527",59.71,12.29,
239,SK리츠,"6,210",20,+0.32%,500,"9,627","155,021",0.08,"184,626",119.42,N/A,
240,미원상사,"192,500","2,500",-1.28%,500,"9,567","4,970",4.00,"3,254",15.07,21.07,
241,KODEX 200TR,"12,105",25,+0.21%,0,"9,515","78,600",0.00,"25,343",N/A,N/A,
242,서울가스,"190,000",500,-0.26%,"5,000","9,500","5,000",7.49,"8,850",763.05,13.14,
243,KODEX 코스닥150 레버리지,"10,810",290,+2.76%,0,"9,459","87,500",2.08,"11,727,143",N/A,N/A,
244,다우기술,"21,050",350,+1.69%,500,"9,444","44,867",21.99,"26,081",2.70,18.85,
245,GKL,"15,050",100,+0.67%,500,"9,309","61,856",2.71,"256,445",-8.34,-12.01,
246,KODEX 인버스,"4,300",25,-0.58%,0,"9,292","216,100",1.66,"22,867,387",N/A,N/A,
247,KCC글라스,"57,800","1,700",+3.03%,"1,000","9,231","15,971",10.15,"29,065",4.36,N/A,
248,더블유게임즈,"49,600",100,+0.20%,500,"9,114","18,375",10.50,"52,892",7.17,16.94,
249,한세실업,"22,650",600,+2.72%,500,"9,060","40,000",5.78,"173,078",15.35,10.97,
250,세방전지,"64,700","2,100",+3.35%,500,"9,058","14,000",27.28,"25,640",12.25,6.14,
251,휴켐스,"22,150",650,+3.02%,"1,000","9,055","40,879",5.56,"141,933",13.82,7.51,
252,오리온홀딩스,"14,350",250,+1.77%,500,"8,990","62,645",5.22,"37,412",11.47,3.98,
253,풍산,"31,950","1,000",+3.23%,"5,000","8,954","28,024",11.66,"192,721",4.05,5.09,
254,진에어,"17,100",200,-1.16%,"1,000","8,926","52,200",2.44,"380,486",-3.44,-131.35,
255,프레스티지바이오파마,"14,850",50,+0.34%,0,"8,924","60,096",62.04,"64,721",-104.58,-1.78,
256,제이알글로벌리츠,"5,380",30,+0.56%,"1,000","8,909","165,600",6.42,"338,677",N/A,N/A,
257,부광약품,"12,500",250,-1.96%,500,"8,883","71,063",4.37,"4,002,742",-201.61,-2.46,
258,한섬,"36,000","1,250",+3.60%,500,"8,867","24,630",28.35,"57,569",8.27,7.85,
259,효성화학,"275,500",500,+0.18%,"5,000","8,789","3,190",7.45,"26,098",9.09,-2.71,
260,보령제약,"12,750",150,+1.19%,500,"8,758","68,690",7.07,"120,081",19.71,8.62,
